categoria,dificultad,pregunta,respuesta
cultura general,fácil,¿La pizza es de origen italiano?,Sí
cultura general,fácil,¿El violín es un instrumento musical?,Sí
cultura general,fácil,¿Shakespeare escribió Romeo y Julieta?,Sí
cultura general,fácil,¿La Mona Lisa es una pintura famosa?,Sí
cultura general,fácil,¿El tango es un baile argentino?,Sí
cultura general,fácil,¿Mickey Mouse es un personaje de Disney?,Sí
cultura general,fácil,¿El teatro es una forma de arte?,Sí
cultura general,fácil,¿La salsa es un condimento?,Sí
cultura general,fácil,¿Los libros se leen?,Sí
cultura general,fácil,¿La música se escucha?,Sí
cultura general,media,"¿Van Gogh pintó ""La noche estrellada""?",Sí
cultura general,media,¿Beethoven era sordo?,Sí
cultura general,media,¿El flamenco es de España?,Sí
cultura general,media,¿Picasso pintó el Guernica?,Sí
cultura general,media,¿Los Beatles eran ingleses?,Sí
cultura general,media,¿El sushi es japonés?,Sí
cultura general,media,¿Mozart era austriaco?,Sí
cultura general,media,¿La cumbia es música argentina?,No
cultura general,media,¿El asado es típico argentino?,Sí
cultura general,media,¿Gardel era argentino?,Sí
cultura general,difícil,¿Borges ganó el Premio Nobel de Literatura?,No
cultura general,difícil,¿El Martín Fierro fue escrito por José Hernández?,Sí
cultura general,difícil,¿Mafalda fue creada por Quino?,Sí
cultura general,difícil,¿El bandoneón es fundamental en el tango?,Sí
cultura general,difícil,¿Las empanadas son originarias de Argentina?,No
cultura general,difícil,¿El mate se toma caliente?,Sí
cultura general,difícil,"¿Sandro era conocido como ""El Gitano""?",No
cultura general,difícil,¿El folklore argentino incluye la zamba?,Sí
cultura general,difícil,¿El Teatro Colón está en Buenos Aires?,Sí
cultura general,difícil,¿El dulce de leche es argentino?,Sí
deporte,fácil,¿El fútbol se juega con los pies?,Sí
deporte,fácil,¿El básquetbol se juega con las manos?,Sí
deporte,fácil,¿En el tenis se usa una raqueta?,Sí
deporte,fácil,¿El boxeo es un deporte de contacto?,Sí
