categoria,dificultad,pregunta,opcion1,opcion2,opcion3,opcion4,respuesta
Cultura General,fácil,¿Quién pintó la Mona Lisa?,1) Miguel Ángel,2) Leonardo da Vinci,3) Picasso,4) Van Gogh,2
Cultura General,fácil,¿Cuál es el instrumento de Beethoven?,1) Violín,2) Piano,3) Guitarra,4) Flauta,2
Cultura General,fácil,¿Quién escribió Romeo y Julieta?,1) Cervantes,2) Shakespeare,3) Dante,4) Goethe,2
Cultura General,fácil,¿Cuál es la obra más famosa de Picasso?,1) La Gioconda,2) Guernica,3) La Noche Estrellada,4) El Grito,2
Cultura General,fácil,¿Quién fue el Rey del Pop?,1) Elvis Presley,2) Michael Jackson,3) Prince,4) Madonna,2
Cultura General,fácil,¿Cuántas cuerdas tiene una guitarra?,1) 4,2) 5,3) 6,4) 7,3
Cultura General,fácil,¿Dónde está el Museo del Louvre?,1) Londres,2) París,3) Roma,4) Madrid,2
Cultura General,fácil,¿Quién escribió Don Quijote?,1) Shakespeare,2) Cervantes,3) Lope de Vega,4) Góngora,2
Cultura General,fácil,¿Cuál es el baile típico de Argentina?,1) Salsa,2) Tango,3) Flamenco,4) Samba,2
Cultura General,fácil,¿Quién creó Mickey Mouse?,1) Walt Disney,2) Warner Bros,3) Hanna-Barbera,4) Pixar,1
Cultura General,media,¿Dónde está la Capilla Sixtina?,1) París,2) Vaticano,3) Londres,4) Florencia,2
Cultura General,media,¿Quién compuso La Novena Sinfonía?,1) Mozart,2) Beethoven,3) Bach,4) Chopin,2
Cultura General,media,¿Cuál es la novela más famosa de García Márquez?,1) El Amor en los Tiempos del Cólera,2) Cien Años de Soledad,3) Crónica de una Muerte Anunciada,4) El Coronel no Tiene Quien le Escriba,2
Cultura General,media,¿Dónde está el Teatro Colón?,1) Madrid,2) Buenos Aires,3) París,4) Milán,2
Cultura General,media,¿Quién escribió 1984?,1) Aldous Huxley,2) George Orwell,3) Ray Bradbury,4) Isaac Asimov,2
Cultura General,media,¿Cuál es la sinfonía más famosa de Mozart?,1) Sinfonía 39,2) Sinfonía 40,3) Sinfonía 41,4) Sinfonía 25,2
Cultura General,media,¿Quién pintó La Noche Estrellada?,1) Picasso,2) Van Gogh,3) Monet,4) Dalí,2
Cultura General,media,¿Dónde nació Mozart?,1) Viena,2) Salzburgo,3) Berlín,4) Praga,2
Cultura General,media,¿Cuál es la ópera más famosa de Verdi?,1) Rigoletto,2) La Traviata,3) Aida,4) Il Trovatore,2
Cultura General,media,¿Quién escribió El Principito?,1) Julio Verne,2) Saint-Exupéry,3) Victor Hugo,4) Marcel Proust,2
Cultura General,difícil,¿Cuál es el nombre real de Voltaire?,1) François-Marie Arouet,2) Jean-Baptiste Poquelin,3) Pierre Corneille,4) Jean Racine,1
Cultura General,difícil,¿Quién compuso El Anillo del Nibelungo?,1) Bach,2) Wagner,3) Brahms,4) Liszt,2
Cultura General,difícil,¿En qué ciudad nació Borges?,1) Córdoba,2) Buenos Aires,3) Rosario,4) Mendoza,2
Cultura General,difícil,¿Cuál es la obra cumbre de Dante?,1) La Vita Nuova,2) La Divina Comedia,3) El Convivio,4) De Monarchia,2
