categoria,dificultad,pista,palabra
Cultura General,fácil,Autor de Don Quijote,CERVANTES
Cultura General,fácil,Pintor de la Mona Lisa,LEONARDO
Cultura General,fácil,Compositor de la Quinta Sinfonía,BEETHOVEN
Cultura General,fácil,Autor de Romeo y Julieta,SHAKESPEARE
Cultura General,fácil,Pintor español del cubismo,PICASSO
Cultura General,fácil,Compositor austriaco de Las bodas de Fígaro,MOZART
Cultura General,fácil,Autor de El Principito,SAINT
Cultura General,media,Escritor argentino autor de El Aleph,BORGES
Cultura General,media,Pintor argentino de murales,BERNI
Cultura General,media,Autor de La Divina Comedia,DANTE
Cultura General,media,Pintor impresionista francés,MONET
Cultura General,difícil,Escultor italiano del Renacimiento,DONATELLO
Cultura General,difícil,Autor de Ficciones,BORGES
Deportes,fácil,Deporte más popular del mundo,FUTBOL
Deportes,fácil,Deporte que se juega con raqueta y pelota amarilla,TENIS
Deportes,fácil,Deporte acuático con estilos libre y mariposa,NATACION
Deportes,fácil,Deporte donde se anotan goles en un aro,BASQUET
Deportes,fácil,Deporte argentino jugado a caballo,POLO
Deportes,fácil,Competencia deportiva mundial cada cuatro años,OLIMPIADAS
Deportes,fácil,Deporte de combate con guantes,BOXEO
Deportes,fácil,Deporte que se juega en una mesa verde,BILLAR
Deportes,fácil,Deporte con bate y pelota,BEISBOL
Deportes,fácil,Deporte de invierno con esquíes,ESQUI
Deportes,media,Jugador argentino considerado el mejor del mundo,MESSI
Deportes,media,Estadio donde juega Boca Juniors,BOMBONERA
Deportes,media,Deporte donde se usa un palo llamado driver,GOLF
Deportes,media,Torneo de tenis más prestigioso,WIMBLEDON
Deportes,media,Piloto argentino de Fórmula Uno,FANGIO
Deportes,media,Equipo de fútbol argentino con más títulos,RIVER
Deportes,media,Deporte acuático con tabla,SURF
Deportes,media,Boxeador argentino campeón mundial,MONZON
Deportes,media,Competencia ciclística más famosa,TOUR
Deportes,media,Deporte japonés de lucha,SUMO
Deportes,difícil,Tenista argentino ganador de Roland Garros,GAUDIO
Deportes,difícil,Estadio donde se jugó el Mundial de mil novecientos setenta y ocho,MONUMENTAL
Deportes,difícil,Deporte donde se usa una pértiga,GARROCHA
Deportes,difícil,Boxeador que venció a Ali,FRAZIER
Deportes,difícil,Equipo de básquet argentino campeón mundial,GENERACION
Deportes,difícil,Piloto argentino que corrió en Ferrari,REUTEMANN
Deportes,difícil,Deporte que combina esquí y tiro,BIATHLON
Deportes,difícil,Nadador argentino medallista olímpico,BORGES
Deportes,difícil,Torneo de golf más prestigioso,MASTERS
Deportes,difícil,Maratonista argentino subcampeón olímpico,ZABALA
General,fácil,Órgano más grande del cuerpo humano,PIEL
General,fácil,Planeta más cercano al Sol,MERCURIO
General,fácil,Gas más abundante en la atmósfera,NITROGENO
General,fácil,Hueso más largo del cuerpo,FEMUR
General,fácil,Elemento químico más ligero,HIDROGENO
General,fácil,Continente más frío,ANTARTIDA
General,fácil,Mamífero más grande del mundo,BALLENA
General,fácil,Ciencia que estudia los seres vivos,BIOLOGIA
General,fácil,Fuerza que atrae los objetos hacia la Tierra,GRAVEDAD
General,fácil,Parte de la planta que absorbe agua,RAIZ
General,media,Partícula subatómica con carga positiva,PROTON
General,media,Proceso por el cual las plantas producen oxígeno,FOTOSINTESIS
General,media,Teoría de Einstein sobre el espacio-tiempo,RELATIVIDAD
General,media,Órgano que produce insulina,PANCREAS
General,media,Elemento más abundante en el universo,HIDROGENO
General,media,Ciencia que estudia los terremotos,SISMOLOGIA
General,media,Tipo de roca formada por sedimentos,SEDIMENTARIA
General,difícil,Proceso de división celular,MITOSIS
General,difícil,Escala para medir la dureza de los minerales,MOHS
General,difícil,Partícula que no tiene masa,FOTON
General,difícil,Proceso de transformación de elementos químicos,TRANSMUTACION
General,difícil,Ciencia que estudia los hongos,MICOLOGIA
General,difícil,Enfermedad causada por deficiencia de vitamina C,ESCORBUTO
General,difícil,Tipo de enlace químico más fuerte,COVALENTE
General,difícil,Hormona que regula el azúcar en sangre,INSULINA
General,difícil,Proceso de formación de gametos,GAMETOGENESIS
General,difícil,Teoría que explica la evolución continental,TECTONICA
General,difícil,Unidad de medida de la intensidad luminosa,CANDELA
Geografía,fácil,País más grande del mundo,RUSIA
Geografía,fácil,Parte de la Capital de Argentina,BUENOS
Geografía,fácil,Océano más grande,PACIFICO
Geografía,fácil,Continente donde está Argentina,AMERICA
Geografía,fácil,Río más largo del mundo,NILO
Geografía,fácil,Cordillera que atraviesa Argentina,ANDES
Geografía,fácil,Capital de España,MADRID
Geografía,fácil,Isla más grande del mundo,GROENLANDIA
Geografía,fácil,Desierto más grande del mundo,SAHARA
Geografía,fácil,País con forma de bota,ITALIA
Geografía,media,Provincia argentina más grande,BUENOS
Geografía,media,Volcán más alto de Argentina,ACONCAGUA
